sigungu,mdate,mdate_origin,rate_lag,d_job,S_lag,S,A,L,ksic1_code,ksic1,jobbig_code,job_big
전국,01-Dec,2023년12월,-0.008555978,"-131,204","15,334,775","15,199,534","493,140","624,344",22,전산업,20,전직종
전국,01-Jan,2024년01월,-0.005408653,"-82,209","15,199,534","15,107,412","890,948","973,157",22,전산업,20,전직종
전국,01-Feb,2024년02월,0.011789577,"178,110","15,107,412","15,276,518","677,586","499,476",22,전산업,20,전직종
전국,01-Mar,2024년03월,0.00470729,"71,911","15,276,518","15,330,552","818,243","746,332",22,전산업,20,전직종
전국,01-Apr,2024년04월,0.006176229,"94,685","15,330,552","15,404,228","660,323","565,638",22,전산업,20,전직종
전국,01-May,2024년05월,0.003217818,"49,568","15,404,228","15,444,260","571,462","521,894",22,전산업,20,전직종
전국,01-Jun,2024년06월,0.001701344,"26,276","15,444,260","15,461,483","538,920","512,644",22,전산업,20,전직종
전국,01-Jul,2024년07월,0.001078486,"16,675","15,461,483","15,471,699","644,261","627,586",22,전산업,20,전직종
전국,01-Aug,2024년08월,0.002272149,"35,154","15,471,699","15,497,507","566,474","531,320",22,전산업,20,전직종
전국,01-Sep,2024년09월,0.000871237,"13,502","15,497,507","15,502,620","528,450","514,948",22,전산업,20,전직종
전국,01-Oct,2024년10월,0.003830901,"59,389","15,502,620","15,543,054","582,215","522,826",22,전산업,20,전직종
전국,01-Nov,2024년11월,-0.000214372,"-3,332","15,543,054","15,529,954","556,050","559,382",22,전산업,20,전직종
전국,01-Dec,2024년12월,-0.010283611,"-159,704","15,529,954","15,364,809","490,792","650,496",22,전산업,20,전직종
전국,01-Jan,2025년01월,-0.008849768,"-135,975","15,364,809","15,229,146","812,472","948,447",22,전산업,20,전직종
전국,01-Feb,2025년02월,0.014201519,"216,277","15,229,146","15,436,996","740,900","524,623",22,전산업,20,전직종
전국,01-Mar,2025년03월,0.00469774,"72,519","15,436,996","15,490,799","791,790","719,271",22,전산업,20,전직종
전국,01-Apr,2025년04월,0.008037094,"124,501","15,490,799","15,594,564","684,451","559,950",22,전산업,20,전직종
전국,01-May,2025년05월,0.003193549,"49,802","15,594,564","15,636,248","540,174","490,372",22,전산업,20,전직종
전국,01-Jun,2025년06월,0.001243201,"19,439","15,636,248","15,647,840","500,577","481,138",22,전산업,20,전직종
전국,01-Jul,2025년07월,0.001119771,"17,522","15,647,840","15,658,178","630,129","612,607",22,전산업,20,전직종
전국,01-Aug,2025년08월,0.002430487,"38,057","15,658,178","15,686,541","545,057","507,000",22,전산업,20,전직종
전국,01-Sep,2025년09월,0.001680613,"26,363","15,686,541","15,701,381","593,209","566,846",22,전산업,20,전직종
전국,01-Oct,2025년10월,0.004130974,"64,862","15,701,381","15,748,574","508,282","443,420",22,전산업,20,전직종
전국,01-Nov,2025년11월,-0.00147734,"-23,266","15,748,574","15,716,390","525,300","548,566",22,전산업,20,전직종
전국,01-Dec,2025년12월,-0.009834192,"-154,558","15,716,390","15,555,839","514,797","669,355",22,전산업,20,전직종
경기도 전체,2007-02-01,2007년02월,0.008465686,"13,913","1,643,458","1,657,743","71,660","57,747",22,전산업,20,전직종
경기도 전체,2007-03-01,2007년03월,0.005747574,"9,528","1,657,743","1,667,118","92,096","82,568",22,전산업,20,전직종
경기도 전체,2007-04-01,2007년04월,0.011474893,"19,130","1,667,118","1,686,145","90,421","71,291",22,전산업,20,전직종
경기도 전체,2007-05-01,2007년05월,0.007363542,"12,416","1,686,145","1,698,066","80,163","67,747",22,전산업,20,전직종
경기도 전체,2007-06-01,2007년06월,0.004049901,"6,877","1,698,066","1,707,225","72,345","65,468",22,전산업,20,전직종
